rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
53,Akron,MAC,19-4,119.6139,47,105.8138,112,0.803727,53,25.63758,5.36242,16.00733,1.992667,1-Oct,0.402557,0.370696,0.437314,0.400618,0.391449,0.40724,0.886276,0.861568,108.8324,110.6764,108.5091,111.0625,115.6791,100.9961,122.7614,110.1115,0.777407,1,0.021863,910,775,773.75,1.17609,1.001616,0.35998,0.909091,-0.28988,60,113,70.48006
54,TCU,B12,13-9,112.9107,106,100.0109,40,0.801415,54,17.24422,13.75578,7.24422,10.75578,6-Mar,0.598155,0.424394,0.849144,0.656827,0.424394,0.824695,0.674626,0.812375,113.1046,106.441,114.1771,105.0371,113.9176,100.8684,118.6591,93.62616,0.938478,8,0.001579,687,732,646.5625,1.062542,1.132141,0.800246,0.333333,-0.94749,70,177,67.69154
55,Boise St.,MWC,14-9,115.9649,72,102.7218,68,0.801315,55,19.66549,11.33451,10.66549,9.334509,6-Jun,0.637267,0.568407,0.700389,0.648082,0.568407,0.691904,0.745325,0.793658,113.452,104.2907,113.5055,104.454,116.7684,106.9565,111.8829,103.7962,0.703238,9,-0.01058,951,924,838.475,1.134202,1.102001,0.679176,0.5,-1.63371,72,208,66.31057
56,LSU,SEC,14-8,120.0657,44,106.3817,121,0.800842,56,17.38058,13.61942,5.380582,12.61942,7-Feb,0.59559,0.435632,0.826642,0.674076,0.435632,0.846285,0.678737,0.860064,112.0777,105.8851,115.0853,105.0054,115.8111,107.3168,116.875,101.1776,0.840053,7,0.008337,665,713,614.6375,1.081939,1.160033,0.865928,0.222222,-0.83713,66,161,66.55155
57,California,ACC,16-6,113.8191,93,100.9798,51,0.798416,57,21.21012,9.789881,9.210119,8.789881,5-Apr,0.57763,0.389068,0.849998,0.618353,0.389068,0.783947,0.75189,0.901226,113.0472,107.3284,112.9447,106.0088,113.9764,102.0011,118.0538,102.9511,0.82838,7,0.086054,642,686,611.1125,1.050543,1.122543,0.717896,0.444444,0.745566,47,30,66.70626
58,West Virginia,B12,14-8,111.0328,133,98.68863,27,0.795002,58,17.86836,13.13164,8.86836,9.13164,4-May,0.568682,0.385897,0.832705,0.641515,0.385897,0.826129,0.699029,0.870878,110.9587,106.7911,112.9743,105.5644,109.7399,99.29155,114.9562,102.7682,0.783955,6,0.005725,567,621,566.5375,1.000816,1.096132,0.819553,0.555556,-0.91861,69,168,62.35763
59,Baylor,B12,9-Dec,119.993,45,106.7124,128,0.793951,59,15.82334,15.17666,5.622665,12.37733,7-Feb,0.645382,0.469584,0.879779,0.706693,0.50568,0.851869,0.634475,0.795047,112.6216,102.9794,115.6623,102.5777,113.8409,103.6077,117.2635,104.6985,0.786407,10,0.020314,617,684,605.0125,1.019814,1.130555,0.823958,0.222222,-0.86366,68,118,68.27926
60,Minnesota,B10,12-Oct,113.0039,104,100.5023,45,0.793848,60,14.0139,16.9861,7.013903,12.9861,8-Mar,0.632676,0.388682,0.876669,0.676629,0.388682,0.835,0.655703,0.864978,114.7651,107.5271,115.6486,105.7768,115.5084,100.7331,115.7298,102.1692,0.807403,11,-0.09886,764,821,720.125,1.060927,1.14008,0.784072,0.272727,-3.48027,102,346,63.24053
61,Virginia Tech,ACC,16-7,114.7142,82,102.1057,60,0.792326,61,19.13509,11.86491,8.135094,9.864906,5-May,0.628012,0.497511,0.797662,0.675156,0.497511,0.803454,0.693843,0.856454,113.5134,106.9834,114.6004,105.2556,115.3939,100.8902,112.003,99.08268,0.803697,6,0.077693,760,759,706.45,1.075802,1.074386,0.810695,0.5,0.313469,54,34,67.57376
62,Missouri,SEC,15-7,116.9464,68,104.117,80,0.791881,62,18.08807,12.91193,8.088069,9.911931,4-May,0.57782,0.400053,0.834595,0.661878,0.400053,0.850974,0.671733,0.822616,112.6534,107.7918,115.2254,106.1112,116.4439,101.6934,112.6992,101.922,0.760589,8,0.068349,680,700,623.7125,1.090246,1.122312,0.867353,0.555556,0.312725,55,44,66.62988
63,Syracuse,ACC,13-10,115.2649,77,102.6488,67,0.791349,63,15.98664,15.01336,6.986642,11.01336,6-Apr,0.605493,0.485771,0.761132,0.667609,0.485771,0.798937,0.674906,0.760857,110.8186,104.6532,113.3266,103.6522,117.2125,104.5741,108.834,96.6885,0.795888,7,-0.04296,774,783,707.2,1.094457,1.107183,0.846194,0.4,-2.30263,82,273,67.85997
64,Northwestern,B10,12-Oct,117.8287,62,105.1515,95,0.787353,64,12.67258,18.32742,4.672575,15.32742,9-Feb,0.654932,0.486653,0.823211,0.714578,0.486653,0.839937,0.623173,0.83005,114.0038,105.4704,116.3114,103.62,117.1211,107.354,117.937,104.9752,0.792309,8,-0.10585,794,852,728.95,1.089238,1.168804,0.860381,0.181818,-3.85281,120,351,65.83186
